,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1647947752,0.0,2,5,-37.814960799999994,144.92755280000003,-37.802147399999996,144.9379185,3931.0,2018-06-15,08:23:19,978.42,8:39:37,4.44
ID1255402504,0.0,8,3,-37.8158343,145.04645,-37.8187755,144.9701918,7503.0,2018-07-16,02:09:11,2212.3199999999993,2:46:03,14.37
ID3203936860,1.0,2,6,-37.817915299999996,144.9484878,-37.7874421,144.9804091,5243.0,2018-03-03,22:11:43,1315.0800000000004,22:33:38,25.21
ID1611678949,0.0,4,8,-37.8023809,144.9918315,-37.8158343,145.04645,6676.0,2018-02-25,20:28:44,2058.24,21:03:02,14.09
ID3813261103,1.0,2,8,-37.816731700000005,144.92745269999998,-37.807202000000004,145.0266373,10205.0,2018-07-21,04:48:28,2614.0200000000004,5:32:02,28.52
ID3752373190,1.0,6,7,-37.7738026,144.98364660000001,-37.8618349,144.90571599999998,16033.0,2018-03-08,16:04:03,5323.559999999999,17:32:46,30.34
ID1990842407,0.0,9,3,-38.1109156,144.65417250000002,-37.8203118,144.9790144,45064.0,2018-01-04,19:13:00,10837.56,22:13:37,16.68
ID3877563297,1.0,7,6,-37.8618349,144.90571599999998,-37.7907967,144.985865,11711.0,2018-07-04,21:01:32,3859.7999999999984,22:05:51,30.84
ID1224039935,0.0,4,1,-37.8071296,144.9957194,-37.820919700000005,144.9578977,4171.0,2018-06-25,06:37:38,1063.74,6:55:21,5.35
ID3596227880,1.0,4,8,-37.7992307,145.0054592,-37.8158343,145.04645,4950.0,2018-06-10,19:56:44,1532.1,20:22:16,19.39
ID3291543777,1.0,3,4,-37.81518320000001,144.9713804,-37.8007346,145.0020597,3932.0,2018-07-25,03:34:13,1000.9200000000003,3:50:53,21.84
ID1141921835,0.0,4,9,-37.799082299999995,144.99275790000002,-38.1109156,144.65417250000002,47056.0,2018-07-26,04:15:42,11384.82,7:25:26,20.49
ID1899734473,0.0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-06-22,07:42:46,4917.479999999999,9:04:43,4.84
ID3782002393,1.0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-01-12,00:08:02,4911.5999999999985,1:29:53,35.31
ID1295973338,0.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-05-05,00:26:05,13204.979999999996,4:06:09,27.33
ID1372192477,0.0,7,3,-37.8618349,144.90571599999998,-37.82472070000001,144.9827064,8852.0,2018-04-20,15:45:51,2915.04,16:34:26,8.9
ID5332566085,2.0,3,7,-37.811681799999995,144.98317319999998,-37.8618349,144.90571599999998,9348.0,2018-07-17,10:33:26,3175.98,11:26:21,326.01
ID1159804206,0.0,2,3,-37.826280100000005,144.93074109999998,-37.822042700000004,144.9945849,8039.0,2018-07-08,00:36:41,1883.2200000000007,1:08:04,15.52
ID5708227608,2.0,9,3,-38.1109156,144.65417250000002,-37.8186998,144.98584630000002,45487.0,2018-01-14,21:07:12,10913.519999999991,0:09:05,1094.5
ID1330949226,0.0,6,1,-37.7874325,144.9803767,-37.8200291,144.968851,4155.0,2018-02-19,12:01:55,1069.2000000000007,12:19:44,8.47
ID3967031181,1.0,2,7,-37.814828000000006,144.932784,-37.8618349,144.90571599999998,11130.0,2018-03-07,03:38:20,3651.84,4:39:11,29.71
ID3849181936,1.0,2,1,-37.809225500000004,144.9315914,-37.799940500000005,144.958796,3218.0,2018-01-11,22:52:03,751.7400000000001,23:04:34,17.27
ID1388357466,0.0,9,5,-38.1109156,144.65417250000002,-37.80467279999999,144.9365014,43364.0,2018-01-24,18:23:44,10352.699999999997,21:16:16,15.86
ID1777653744,0.0,5,8,-37.8052151,144.9372108,-37.807202000000004,145.0266373,8563.0,2018-04-18,06:45:26,2214.600000000001,7:22:20,5.57
ID3154933259,1.0,1,2,-37.8106368,144.9605957,-37.814957899999996,144.9275311,4168.0,2018-03-21,05:00:43,1082.2800000000007,5:18:45,19.13
ID5896970340,2.0,6,1,-37.7907967,144.985865,-37.800443,144.958785,3515.0,2018-05-10,15:14:41,1014.6000000000003,15:31:35,115.08
ID3921112817,1.0,3,6,-37.82460379999999,145.00054219999998,-37.7874421,144.9804091,5621.0,2018-03-05,19:04:10,1435.86,19:28:05,16.27
ID5226200550,2.0,3,9,-37.812140500000005,144.9738872,-38.1109156,144.65417250000002,44415.0,2018-07-23,22:13:25,10704.0,1:11:49,1081.65
ID1775563767,0.0,9,2,-38.1109156,144.65417250000002,-37.81284,144.94309219999997,42104.0,2018-02-03,00:42:27,10087.379999999996,3:30:34,23.78
ID1961060079,0.0,5,4,-37.8009902,144.918032,-37.810210299999994,145.00725309999999,8671.0,2018-05-16,03:34:36,2330.7599999999993,4:13:26,12.23
ID1408297779,0.0,3,7,-37.819514700000006,144.98277119999997,-37.8618349,144.90571599999998,9102.0,2018-01-19,14:02:45,3012.54,14:52:57,9.19
ID1509114680,0.0,2,1,-37.81440070000001,144.9392639,-37.8204334,144.9566814,2231.0,2018-03-12,05:12:08,593.28,5:22:01,10.65
ID1898364751,0.0,1,5,-37.821056,144.9550741,-37.80006289999999,144.9321884,3366.0,2018-04-09,08:27:22,808.8599999999997,8:40:50,4.29
ID5944156058,2.0,7,1,-37.8618349,144.90571599999998,-37.79958370000001,144.96338740000002,9834.0,2018-01-13,11:21:55,3206.0999999999967,12:15:21,334.66
ID3211719276,1.0,6,1,-37.7738026,144.98364660000001,-37.8065507,144.9581026,7804.0,2018-02-28,01:03:11,2490.1800000000007,1:44:41,25.02
ID1601933008,0.0,1,6,-37.82127929999999,144.966936,-37.7738026,144.98364660000001,8816.0,2018-03-13,16:23:00,2787.24,17:09:27,9.26
ID5301259657,2.0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-04-23,05:40:29,13173.36,9:20:02,1322.19
ID3220399137,1.0,6,5,-37.7907967,144.985865,-37.8029687,144.9381927,6050.0,2018-02-12,00:26:40,1759.0800000000006,0:55:59,23.12
ID3967938649,1.0,3,1,-37.824872799999994,144.9889915,-37.816416,144.94590159999998,4545.0,2018-05-12,22:41:42,1174.380000000001,23:01:16,24.25
ID3782008787,1.0,2,7,-37.8133329,144.93752769999998,-37.8618349,144.90571599999998,10569.0,2018-03-06,07:19:27,3437.5200000000004,8:16:44,16.87
ID3851925127,1.0,4,3,-37.807202000000004,145.0266373,-37.8168876,144.9898293,4759.0,2018-03-11,02:03:12,1149.9600000000005,2:22:21,23.47
ID3296212097,1.0,8,3,-37.8158343,145.04645,-37.8105096,144.9898214,5125.0,2018-07-27,12:05:31,1594.8000000000006,12:32:05,16.13
ID5590853460,2.0,9,6,-38.1109156,144.65417250000002,-37.7874421,144.9804091,47035.0,2018-03-22,05:50:56,11413.020000000008,9:01:09,1151.4
ID1297401380,0.0,5,1,-37.8152883,144.927865,-37.8102793,144.97287769999997,5407.0,2018-02-26,22:03:32,1380.1800000000005,22:26:32,11.39
ID3349924200,1.0,2,8,-37.815095,144.9412011,-37.8158343,145.04645,9609.0,2018-06-23,16:08:14,2742.780000000001,16:53:56,25.22
ID3469914046,1.0,9,3,-38.1109156,144.65417250000002,-37.826167100000006,144.9851251,45723.0,2018-07-25,15:26:56,11034.72,18:30:50,50.03
ID5695713248,2.0,5,8,-37.801840000000006,144.9287179,-37.8158343,145.04645,11118.0,2018-03-12,11:24:33,3093.9599999999987,12:16:06,316.2
ID3151612865,1.0,6,1,-37.7738026,144.98364660000001,-37.8178315,144.9663314,8422.0,2018-02-06,04:23:49,2688.060000000001,5:08:37,24.95
ID1368618129,0.0,8,3,-37.807202000000004,145.0266373,-37.8213321,144.9769858,6074.0,2018-05-18,18:21:33,1521.78,18:46:54,9.21
ID1286309661,0.0,6,1,-37.7738026,144.98364660000001,-37.81899620000001,144.9627055,8727.0,2018-03-09,06:01:49,2703.4199999999983,6:46:52,7.19
ID1136094195,0.0,6,4,-37.7907967,144.985865,-37.7989484,145.0012841,3210.0,2018-02-10,07:41:20,923.5800000000003,7:56:43,7.93
ID1974274105,0.0,3,7,-37.8210595,144.97708500000002,-37.8618349,144.90571599999998,8679.0,2018-05-23,16:50:14,2907.36,17:38:41,9.31
ID3449939910,1.0,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-04-25,14:44:13,12681.059999999998,18:15:34,58.4
ID3571628182,1.0,7,2,-37.8618349,144.90571599999998,-37.8243231,144.9480425,8895.0,2018-05-17,03:19:41,3007.98,4:09:48,27.84
ID3466983988,1.0,6,7,-37.7738026,144.98364660000001,-37.8618349,144.90571599999998,16033.0,2018-06-19,12:27:07,5323.559999999999,13:55:50,30.64
ID3594880708,1.0,5,7,-37.8067534,144.93257250000002,-37.8618349,144.90571599999998,10997.0,2018-07-02,06:09:02,3516.78,7:07:38,19.65
ID1543031629,0.0,1,4,-37.821859,144.9521992,-37.804542100000006,144.9932779,4669.0,2018-02-03,06:34:40,1288.14,6:56:08,8.05
ID3901820259,1.0,4,9,-37.801584999999996,144.9970287,-38.1109156,144.65417250000002,47278.0,2018-06-19,19:54:15,11420.04,23:04:35,53.55
ID3888197095,1.0,9,2,-38.1109156,144.65417250000002,-37.8160428,144.93256680000002,43373.0,2018-02-04,11:26:54,10413.6,14:20:27,46.42
ID1137233318,0.0,6,9,-37.7874325,144.9803767,-38.1109156,144.65417250000002,47033.0,2018-05-08,18:37:56,11350.5,21:47:06,17.72
ID1390519739,0.0,7,3,-37.8618349,144.90571599999998,-37.8193049,144.999041,10593.0,2018-05-16,01:03:58,3394.4999999999986,2:00:32,14.24
ID3264762197,1.0,9,5,-38.1109156,144.65417250000002,-37.804446899999995,144.91663180000003,44805.0,2018-05-01,19:28:39,10824.839999999997,22:29:03,51.28
ID1479000481,0.0,4,6,-37.800740399999995,145.0101478,-37.7738026,144.98364660000001,9920.0,2018-05-11,10:07:47,3036.1200000000013,10:58:23,6.23
ID3762067696,1.0,7,4,-37.8618349,144.90571599999998,-37.8009524,145.01209409999998,12697.0,2018-05-18,22:46:57,4095.239999999998,23:55:12,30.47
ID3653194714,1.0,4,9,-37.810925700000006,145.00415800000002,-38.1109156,144.65417250000002,47275.0,2018-05-02,18:59:19,11447.339999999998,22:10:06,50.73
ID3344056127,1.0,2,8,-37.811325,144.9269538,-37.807202000000004,145.0266373,9797.0,2018-05-05,20:19:52,2530.8,21:02:02,24.09
ID3639440844,1.0,3,6,-37.8105799,145.0007616,-37.7738026,144.98364660000001,9500.0,2018-03-15,11:18:21,2877.5400000000004,12:06:18,15.76
ID1728965867,0.0,1,8,-37.816970500000004,144.9610493,-37.8158343,145.04645,8050.0,2018-05-24,10:47:13,2282.280000000001,11:25:15,6.91
ID3862323639,1.0,9,2,-38.1109156,144.65417250000002,-37.8109485,144.9389868,42508.0,2018-03-25,20:06:26,10190.399999999996,22:56:16,49.65
ID1706603678,0.0,2,4,-37.824583700000005,144.9465944,-37.811448399999996,145.0097593,6347.0,2018-07-17,14:06:53,1663.9799999999998,14:34:36,9.98
ID1175951703,0.0,9,6,-38.1109156,144.65417250000002,-37.7908183,144.9857929,47186.0,2018-06-27,08:16:29,11423.220000000007,11:26:52,11.8
