,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3116574835,,5,8,-37.8146258,144.9281072,-37.8158343,145.04645,11563.0,2018-05-08,16:59:58,3229.02,17:53:47,20.75
ID1823397573,0.0,6,2,-37.773845,144.9836895,-37.8150862,144.9450741,6317.0,2018-02-03,16:29:55,1401.1799999999998,16:53:16,12.2
ID3982020199,1.0,3,7,-37.8143618,144.9952645,-37.8618349,144.905716,10492.0,2018-01-16,09:37:45,3340.1400000000003,10:33:25,17.22
ID1703590079,0.0,3,1,-37.8177751,145.0079809,-37.8059635,144.9408821,6954.0,2018-06-20,22:52:31,1727.4000000000015,23:21:18,14.07
ID3205786151,1.0,2,8,-37.8227836,144.9357523,-37.8158343,145.04645,10559.0,2018-07-07,18:45:36,3076.3200000000006,19:36:52,23.5
ID3705852208,,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-03-04,09:50:44,4917.479999999999,11:12:41,24.04
ID5181942063,,1,7,-37.7997729,144.9636234,-37.8618349,144.905716,9822.0,2018-01-28,16:53:56,3211.26,17:47:27,344.46
ID3300440537,1.0,3,2,-37.821025,144.9784257,-37.8186913,144.9427556,3840.0,2018-02-05,06:26:24,916.2000000000002,6:41:40,6.98
ID3987478228,1.0,2,6,-37.8244062,144.9447001,-37.7907967,144.985865,6304.0,2018-03-14,18:33:05,1802.820000000001,19:03:07,16.33
ID1251591491,0.0,5,4,-37.8066063,144.9378524,-37.8004569,144.9975411,6152.0,2018-06-19,00:28:55,1560.4199999999998,0:54:55,12.41
ID3862333205,1.0,9,6,-38.1109156,144.6541725,-37.7874325,144.9803767,47033.0,2018-05-09,17:46:05,11355.660000000005,20:55:20,50.38
ID1287939318,0.0,4,2,-37.8085633,145.0001673,-37.8197896,144.9425883,5864.0,2018-07-12,23:26:46,1429.9199999999998,23:50:35,12.86
ID5761739933,,5,7,-37.8044195,144.9285626,-37.8618349,144.905716,11364.0,2018-02-09,05:08:42,3641.5200000000004,6:09:23,389.19
ID1647947752,0.0,2,5,-37.8149608,144.9275528,-37.8021474,144.9379185,3931.0,2018-06-15,08:23:19,978.4200000000001,8:39:37,4.44
ID1255402504,0.0,8,3,-37.8158343,145.04645,-37.8187755,144.9701918,7503.0,2018-07-16,02:09:11,2212.3199999999993,2:46:03,14.37
ID3203936860,,2,6,-37.8179153,144.9484878,-37.7874421,144.9804091,5243.0,2018-03-03,22:11:43,1315.0800000000004,22:33:38,25.21
ID1611678949,0.0,4,8,-37.8023809,144.9918315,-37.8158343,145.04645,6676.0,2018-02-25,20:28:44,2058.2400000000002,21:03:02,14.09
ID3813261103,1.0,2,8,-37.8167317,144.9274527,-37.807202,145.0266373,10205.0,2018-07-21,04:48:28,2614.0200000000004,5:32:02,28.52
ID3752373190,1.0,6,7,-37.7738026,144.9836466,-37.8618349,144.905716,16033.0,2018-03-08,16:04:03,5323.559999999998,17:32:46,30.34
ID1990842407,,9,3,-38.1109156,144.6541725,-37.8203118,144.9790144,45064.0,2018-01-04,19:13:00,10837.56,22:13:37,16.68
ID3877563297,,7,6,-37.8618349,144.905716,-37.7907967,144.985865,11711.0,2018-07-04,21:01:32,3859.799999999998,22:05:51,30.84
ID1224039935,,4,1,-37.8071296,144.9957194,-37.8209197,144.9578977,4171.0,2018-06-25,06:37:38,1063.74,6:55:21,5.35
ID3596227880,1.0,4,8,-37.7992307,145.0054592,-37.8158343,145.04645,4950.0,2018-06-10,19:56:44,1532.1,20:22:16,19.39
ID3291543777,1.0,3,4,-37.8151832,144.9713804,-37.8007346,145.0020597,3932.0,2018-07-25,03:34:13,1000.9200000000003,3:50:53,21.84
ID1141921835,,4,9,-37.7990823,144.9927579,-38.1109156,144.6541725,47056.0,2018-07-26,04:15:42,11384.82,7:25:26,20.49
ID1899734473,0.0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-06-22,07:42:46,4917.479999999999,9:04:43,4.84
ID3782002393,,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-01-12,00:08:02,4911.599999999998,1:29:53,35.31
ID1295973338,0.0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-05-05,00:26:05,13204.979999999994,4:06:09,27.33
ID1372192477,0.0,7,3,-37.8618349,144.905716,-37.8247207,144.9827064,8852.0,2018-04-20,15:45:51,2915.04,16:34:26,8.9
ID5332566085,2.0,3,7,-37.8116818,144.9831732,-37.8618349,144.905716,9348.0,2018-07-17,10:33:26,3175.98,11:26:21,326.01
ID1159804206,0.0,2,3,-37.8262801,144.9307411,-37.8220427,144.9945849,8039.0,2018-07-08,00:36:41,1883.2200000000003,1:08:04,
ID5708227608,2.0,9,3,-38.1109156,144.6541725,-37.8186998,144.9858463,45487.0,2018-01-14,21:07:12,10913.519999999993,0:09:05,
ID1330949226,0.0,6,1,-37.7874325,144.9803767,-37.8200291,144.968851,4155.0,2018-02-19,12:01:55,1069.2000000000007,12:19:44,8.47
ID3967031181,1.0,2,7,-37.814828,144.932784,-37.8618349,144.905716,11130.0,2018-03-07,03:38:20,3651.84,4:39:11,
ID3849181936,1.0,2,1,-37.8092255,144.9315914,-37.7999405,144.958796,3218.0,2018-01-11,22:52:03,751.7400000000001,23:04:34,17.27
ID1388357466,0.0,9,5,-38.1109156,144.6541725,-37.8046728,144.9365014,43364.0,2018-01-24,18:23:44,10352.699999999997,21:16:16,15.86
ID1777653744,0.0,5,8,-37.8052151,144.9372108,-37.807202,145.0266373,8563.0,2018-04-18,06:45:26,2214.6000000000004,7:22:20,
ID3154933259,1.0,1,2,-37.8106368,144.9605957,-37.8149579,144.9275311,4168.0,2018-03-21,05:00:43,1082.2800000000007,5:18:45,19.13
ID5896970340,2.0,6,1,-37.7907967,144.985865,-37.800443,144.958785,3515.0,2018-05-10,15:14:41,1014.6000000000003,15:31:35,
ID3921112817,1.0,3,6,-37.8246038,145.0005422,-37.7874421,144.9804091,5621.0,2018-03-05,19:04:10,1435.86,19:28:05,16.27
ID5226200550,2.0,3,9,-37.8121405,144.9738872,-38.1109156,144.6541725,44415.0,2018-07-23,22:13:25,10704.0,1:11:49,1081.65
ID1775563767,0.0,9,2,-38.1109156,144.6541725,-37.81284,144.9430922,42104.0,2018-02-03,00:42:27,10087.379999999996,3:30:34,23.78
ID1961060079,0.0,5,4,-37.8009902,144.918032,-37.8102103,145.0072531,8671.0,2018-05-16,03:34:36,2330.7599999999993,4:13:26,
ID1408297779,0.0,3,7,-37.8195147,144.9827712,-37.8618349,144.905716,9102.0,2018-01-19,14:02:45,3012.54,14:52:57,9.19
ID1509114680,0.0,2,1,-37.8144007,144.9392639,-37.8204334,144.9566814,2231.0,2018-03-12,05:12:08,593.28,5:22:01,
ID1898364751,0.0,1,5,-37.821056,144.9550741,-37.8000629,144.9321884,3366.0,2018-04-09,08:27:22,808.8599999999998,8:40:50,
ID5944156058,2.0,7,1,-37.8618349,144.905716,-37.7995837,144.9633874,9834.0,2018-01-13,11:21:55,3206.0999999999967,12:15:21,334.66
ID3211719276,1.0,6,1,-37.7738026,144.9836466,-37.8065507,144.9581026,7804.0,2018-02-28,01:03:11,2490.1800000000007,1:44:41,25.02
ID1601933008,0.0,1,6,-37.8212793,144.966936,-37.7738026,144.9836466,8816.0,2018-03-13,16:23:00,2787.2400000000002,17:09:27,
ID5301259657,2.0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-04-23,05:40:29,13173.359999999999,9:20:02,1322.19
ID3220399137,1.0,6,5,-37.7907967,144.985865,-37.8029687,144.9381927,6050.0,2018-02-12,00:26:40,1759.0800000000006,0:55:59,23.12
ID3967938649,1.0,3,1,-37.8248728,144.9889915,-37.816416,144.9459016,4545.0,2018-05-12,22:41:42,1174.380000000001,23:01:16,24.25
ID3782008787,1.0,2,7,-37.8133329,144.9375277,-37.8618349,144.905716,10569.0,2018-03-06,07:19:27,3437.5200000000004,8:16:44,16.87
ID3851925127,1.0,4,3,-37.807202,145.0266373,-37.8168876,144.9898293,4759.0,2018-03-11,02:03:12,1149.9600000000003,2:22:21,
ID3296212097,1.0,8,3,-37.8158343,145.04645,-37.8105096,144.9898214,5125.0,2018-07-27,12:05:31,1594.8000000000004,12:32:05,
ID5590853460,2.0,9,6,-38.1109156,144.6541725,-37.7874421,144.9804091,47035.0,2018-03-22,05:50:56,11413.020000000008,9:01:09,1151.4
ID1297401380,0.0,5,1,-37.8152883,144.927865,-37.8102793,144.9728777,5407.0,2018-02-26,22:03:32,1380.1800000000005,22:26:32,
ID3349924200,1.0,2,8,-37.815095,144.9412011,-37.8158343,145.04645,9609.0,2018-06-23,16:08:14,2742.7800000000007,16:53:56,25.22
ID3469914046,1.0,9,3,-38.1109156,144.6541725,-37.8261671,144.9851251,45723.0,2018-07-25,15:26:56,11034.72,18:30:50,50.03
ID5695713248,2.0,5,8,-37.80184,144.9287179,-37.8158343,145.04645,11118.0,2018-03-12,11:24:33,3093.959999999999,12:16:06,316.2
ID3151612865,1.0,6,1,-37.7738026,144.9836466,-37.8178315,144.9663314,8422.0,2018-02-06,04:23:49,2688.060000000001,5:08:37,24.95
ID1368618129,0.0,8,3,-37.807202,145.0266373,-37.8213321,144.9769858,6074.0,2018-05-18,18:21:33,1521.78,18:46:54,9.21
ID1286309661,0.0,6,1,-37.7738026,144.9836466,-37.8189962,144.9627055,8727.0,2018-03-09,06:01:49,2703.4199999999983,6:46:52,7.19
ID1136094195,0.0,6,4,-37.7907967,144.985865,-37.7989484,145.0012841,3210.0,2018-02-10,07:41:20,923.5800000000002,7:56:43,
ID1974274105,0.0,3,7,-37.8210595,144.977085,-37.8618349,144.905716,8679.0,2018-05-23,16:50:14,2907.36,17:38:41,
ID3449939910,1.0,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-04-25,14:44:13,12681.059999999998,18:15:34,
ID3571628182,1.0,7,2,-37.8618349,144.905716,-37.8243231,144.9480425,8895.0,2018-05-17,03:19:41,3007.98,4:09:48,27.84
ID3466983988,1.0,6,7,-37.7738026,144.9836466,-37.8618349,144.905716,16033.0,2018-06-19,12:27:07,5323.559999999998,13:55:50,30.64
ID3594880708,1.0,5,7,-37.8067534,144.9325725,-37.8618349,144.905716,10997.0,2018-07-02,06:09:02,3516.78,7:07:38,19.65
ID1543031629,0.0,1,4,-37.821859,144.9521992,-37.8045421,144.9932779,4669.0,2018-02-03,06:34:40,1288.1399999999999,6:56:08,8.05
ID3901820259,1.0,4,9,-37.801585,144.9970287,-38.1109156,144.6541725,47278.0,2018-06-19,19:54:15,11420.039999999999,23:04:35,
ID3888197095,1.0,9,2,-38.1109156,144.6541725,-37.8160428,144.9325668,43373.0,2018-02-04,11:26:54,10413.599999999999,14:20:27,46.42
ID1137233318,0.0,6,9,-37.7874325,144.9803767,-38.1109156,144.6541725,47033.0,2018-05-08,18:37:56,11350.5,21:47:06,
ID1390519739,0.0,7,3,-37.8618349,144.905716,-37.8193049,144.999041,10593.0,2018-05-16,01:03:58,3394.499999999999,2:00:32,14.24
ID3264762197,1.0,9,5,-38.1109156,144.6541725,-37.8044469,144.9166318,44805.0,2018-05-01,19:28:39,10824.839999999997,22:29:03,
ID1479000481,0.0,4,6,-37.8007404,145.0101478,-37.7738026,144.9836466,9920.0,2018-05-11,10:07:47,3036.120000000001,10:58:23,6.23
ID3762067696,1.0,7,4,-37.8618349,144.905716,-37.8009524,145.0120941,12697.0,2018-05-18,22:46:57,4095.239999999998,23:55:12,30.47
ID3653194714,1.0,4,9,-37.8109257,145.004158,-38.1109156,144.6541725,47275.0,2018-05-02,18:59:19,11447.339999999998,22:10:06,50.73
ID3344056127,1.0,2,8,-37.811325,144.9269538,-37.807202,145.0266373,9797.0,2018-05-05,20:19:52,2530.7999999999997,21:02:02,24.09
ID3639440844,1.0,3,6,-37.8105799,145.0007616,-37.7738026,144.9836466,9500.0,2018-03-15,11:18:21,2877.5400000000004,12:06:18,15.76
ID1728965867,0.0,1,8,-37.8169705,144.9610493,-37.8158343,145.04645,8050.0,2018-05-24,10:47:13,2282.2800000000007,11:25:15,6.91
ID3862323639,1.0,9,2,-38.1109156,144.6541725,-37.8109485,144.9389868,42508.0,2018-03-25,20:06:26,10190.399999999996,22:56:16,49.65
ID1706603678,0.0,2,4,-37.8245837,144.9465944,-37.8114484,145.0097593,6347.0,2018-07-17,14:06:53,1663.9799999999998,14:34:36,9.98
ID1175951703,0.0,9,6,-38.1109156,144.6541725,-37.7908183,144.9857929,47186.0,2018-06-27,08:16:29,11423.220000000008,11:26:52,11.8
