,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
66,ID3173844940,1,7,4,-37.8618349,144.90571599999998,-37.806339200000004,145.00976780000002,12352.0,2018-04-13,14:54:25,3934.8599999999988,15:59:59,31.31
67,ID3114136489,1,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-02-28,01:06:13,2302.380000000001,1:44:35,24.51
68,ID3714594258,1,4,5,-37.8143336,145.01445890000002,-37.799896399999994,144.9289558,8733.0,2018-07-17,01:41:03,2177.7000000000007,2:17:20,24.52
69,ID3206883449,1,9,2,-38.1109156,144.65417250000002,-37.8179149,144.95056619999997,42038.0,2018-04-02,17:36:51,10091.04,20:25:02,57.32
70,ID3192253687,1,4,5,-37.81436179999999,145.0140941,-37.8040237,144.93345580000002,8159.0,2018-01-06,11:56:09,2106.300000000001,12:31:15,16.73
71,ID3703528468,1,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-07-14,15:55:35,12069.78,19:16:44,72.01
72,ID1725734228,0,3,8,-37.8188311,144.9755155,-37.8158343,145.04645,7467.0,2018-06-03,14:10:04,2186.46,14:46:30,16.72
73,ID1960501561,0,7,3,-37.8618349,144.90571599999998,-37.818589700000004,144.9991477,10511.0,2018-02-13,11:38:30,3379.739999999999,12:34:49,5.065
74,ID1369267007,0,8,6,-37.8158343,145.04645,-37.7738026,144.98364660000001,13562.0,2018-05-18,19:55:29,4192.259999999998,21:05:21,17.7
75,ID1815708486,0,8,6,-37.8158343,145.04645,-37.7874325,144.9803767,8361.0,2018-02-21,05:45:19,2438.2200000000007,6:25:57,9.16
76,ID1619002182,0,2,1,-37.8122103,144.9375505,-37.8120843,144.9384611,489.0,2018-07-16,19:46:42,131.46,19:48:53,8.72
77,ID3264945663,1,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-07-04,09:54:25,13173.36,13:33:58,67.88
78,ID3843092842,1,5,1,-37.7986482,144.9271207,-37.799787,144.9621041,3436.0,2018-07-14,23:15:14,896.1000000000003,23:30:10,21.93
79,ID3275263101,1,9,3,-38.1109156,144.65417250000002,-37.820184499999996,144.9850372,45578.0,2018-05-01,16:21:52,10945.979999999992,19:24:17,61.99
80,ID1840591624,0,6,9,-37.7907967,144.985865,-38.1109156,144.65417250000002,47193.0,2018-03-04,12:16:50,11530.62,15:29:00,16.305
81,ID3233070368,1,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-06-21,06:55:30,12099.660000000005,10:17:09,64.2
82,ID3843789675,1,1,6,-37.8154782,144.95394,-37.7907967,144.985865,4777.0,2018-06-24,09:23:03,1315.68,9:44:58,7.295
83,ID1388665448,0,7,2,-37.8618349,144.90571599999998,-37.815480799999996,144.9414181,10029.0,2018-03-14,23:36:02,3324.2999999999984,0:31:26,9.285
84,ID3958096745,1,7,6,-37.8618349,144.90571599999998,-37.773845,144.9836895,13169.0,2018-03-17,21:54:04,3863.5799999999986,22:58:27,34.7
85,ID5748147466,2,3,2,-37.8224865,145.0016861,-37.814859600000005,144.92351340000002,8470.0,2018-01-28,12:40:57,2126.58,13:16:23,178.01
86,ID3160612210,1,6,1,-37.7874421,144.9804091,-37.8205448,144.95745459999998,4853.0,2018-04-16,07:12:57,1177.0200000000007,7:32:34,11.0
87,ID1625179975,0,1,4,-37.8115222,144.9721881,-37.8051976,144.9944969,2666.0,2018-05-04,15:49:29,694.62,16:01:03,10.02
88,ID5746944753,2,8,5,-37.8158343,145.04645,-37.8001819,144.92894109999997,11121.0,2018-05-16,09:49:37,3083.339999999999,10:41:00,226.09
89,ID1526188799,0,6,5,-37.7874421,144.9804091,-37.8002592,144.9354195,6946.0,2018-04-26,01:54:32,1742.0400000000004,2:23:34,7.73
90,ID3187483145,1,4,6,-37.8023453,145.00481609999997,-37.7907967,144.985865,2879.0,2018-04-02,14:09:10,837.9,14:23:07,13.99
91,ID1589172449,0,2,7,-37.8154379,144.9340363,-37.8618349,144.90571599999998,10754.0,2018-03-02,09:41:57,3522.4200000000005,10:40:39,10.79
